id,priority,category,classification,current_value,masked_value,file_path,line_number,symbol_or_component,route_or_usage,is_rendered_in_production,is_test_only,requires_teacher_input,requires_center_confirmation,requires_legal_or_policy_verification,recommended_replacement,recommended_owner,status,notes
F01,P0,CONFIGURATION_REQUIRED,CONFIGURATION_REQUIRED,http://localhost:3000,http://localhost:3000,.env,,NEXT_PUBLIC_SITE_URL,"canonical/OG/sitemap/robots/JSON-LD (siteConfig.url)",yes,no,no,no,no,https://thaytungdaylaixe.vn,Developer,OPEN,"Cung driven qua src/lib/env/public.ts default va src/config/site.ts url"
F02,P0,CONFIGURATION_REQUIRED,CONFIGURATION_REQUIRED,change-me,chang***,.env,,ADMIN_PASSWORD,"seed + /admin/login",no,no,yes,no,no,Mat khau manh that,Teacher/Developer,OPEN,"Seed tu chan change-me khi NODE_ENV=production"
F03,P0,CONFIGURATION_REQUIRED,CONFIGURATION_REQUIRED,admin@example.com,adm***@example.com,.env,,ADMIN_EMAIL,"tai khoan admin",no,no,yes,no,no,Email that cua thay/quan tri,Teacher/Developer,OPEN,
F04,P0,CONFIGURATION_REQUIRED,CONFIGURATION_REQUIRED,file:./dev.db,file:./dev.db,.env,,DATABASE_URL,"luu Lead + AdminUser",no,no,no,no,no,PostgreSQL production URL,Developer,OPEN,"Da co san prisma/schema.postgresql.prisma"
F05,P1,MOCK_PRODUCTION_RISK,MOCK_PRODUCTION_RISK,"6 testimonial isPlaceholder:true",,src/content/testimonials.ts,20,"testimonials tm-01..tm-06","/ , /cam-nhan-hoc-vien, /gioi-thieu",yes,no,yes,no,no,"Cam nhan that da duoc dong y hoac an khu vuc",Teacher,OPEN,"Co nhan 'Noi dung mau' + thong bao trang; badge tat o prod"
F06,P1,MOCK_PRODUCTION_RISK,MOCK_PRODUCTION_RISK,"2 video videoUrl:null",,src/content/testimonials.ts,105,"video-01 video-02",/cam-nhan-hoc-vien,yes,no,yes,no,no,"Video that (co dong y) hoac giu khung cho",Teacher,OPEN,
F07,P1,PLACEHOLDER_REQUIRED,PLACEHOLDER_REQUIRED,[Email],[Email],.env,,NEXT_PUBLIC_CONTACT_EMAIL,"footer, /lien-he, JSON-LD Person",yes,no,yes,no,no,Email that,Teacher,OPEN,"UI tu an khi con placeholder"
F08,P1,PLACEHOLDER_REQUIRED,PLACEHOLDER_REQUIRED,[Facebook URL],[Facebook URL],.env,,NEXT_PUBLIC_FACEBOOK_URL,"footer, JSON-LD sameAs",yes,no,yes,no,no,URL Facebook that,Teacher,OPEN,"UI tu an"
F09,P1,PLACEHOLDER_REQUIRED,PLACEHOLDER_REQUIRED,[YouTube URL],[YouTube URL],.env,,NEXT_PUBLIC_YOUTUBE_URL,"footer, JSON-LD sameAs",yes,no,yes,no,no,URL YouTube/TikTok that,Teacher,OPEN,"UI tu an"
F10,P1,PLACEHOLDER_REQUIRED,PLACEHOLDER_REQUIRED,[Google Maps URL],[Google Maps URL],.env,,NEXT_PUBLIC_GOOGLE_MAPS_URL,/lien-he nut chi duong,yes,no,yes,yes,no,Link Google Maps diem hen/san tap,Teacher/Center,OPEN,"UI tu an"
